test	duration_ms	status
tests::cli_parses_doctor_command_and_flags	637	pass
tests::cli_parses_gateway_status_command_and_json_flag	598	pass
tests::cli_parses_message_send_command	636	pass
tests::doctor_report_marks_config_load_failure_as_blocking	581	pass
tests::doctor_report_warns_when_docker_is_unavailable	632	pass
tests::cli_dispatch_rpc_status_returns_runtime_payload	618	pass
tests::cli_dispatch_rpc_send_returns_message_identifiers	606	pass
tests::cli_dispatch_rpc_sessions_list_returns_count_field	664	pass
gateway::tests::dispatcher_update_and_web_login_methods_report_expected_payloads	609	pass
