test	duration_ms	status
channels::tests::exposes_channel_capabilities_and_wave1_order	47803	pass
channels::tests::signal_driver_detects_source	444	pass
channels::tests::webchat_driver_detects_source	436	pass
channels::tests::normalize_chat_type_supports_dm_alias	462	pass
channels::tests::mention_gate_skips_when_required_and_not_mentioned	411	pass
channels::tests::mention_gate_with_bypass_allows_authorized_control_commands	451	pass
channels::tests::chunking_supports_length_and_newline_modes	439	pass
channels::tests::default_chunk_limit_matches_core_channel_defaults	442	pass
channels::tests::retry_backoff_policy_scales_and_caps	468	pass
channels::tests::wave2_drivers_detect_source_aliases	430	pass
channels::tests::normalize_channel_id_supports_wave2_aliases	443	pass
channels::tests::wave3_drivers_detect_source_aliases	494	pass
channels::tests::normalize_channel_id_supports_wave3_aliases	426	pass
channels::tests::wave4_drivers_detect_source_aliases	421	pass
channels::tests::normalize_channel_id_supports_wave4_aliases	511	pass
scheduler::tests::mention_activation_accepts_group_message_when_detection_unavailable	484	pass
scheduler::tests::mention_activation_bypasses_for_authorized_control_command	512	pass
gateway::tests::dispatcher_channels_methods_report_status_and_validate_logout	450	pass
gateway::tests::dispatcher_channels_status_rejects_unknown_params	409	pass
gateway::tests::dispatcher_channels_status_probe_false_sets_null_channel_last_probe_at	405	pass
gateway::tests::dispatcher_channels_logout_rejects_unknown_params	441	pass
gateway::tests::dispatcher_channels_logout_accepts_channel_alias	429	pass
gateway::tests::dispatcher_channels_status_reflects_runtime_event_snapshots	422	pass
gateway::tests::dispatcher_channels_status_tracks_payload_channel_alias_runtime	474	pass
gateway::tests::dispatcher_channels_status_tracks_wave3_payload_channel_alias_runtime	403	pass
gateway::tests::dispatcher_channels_status_tracks_wave4_payload_channel_alias_runtime	400	pass
gateway::tests::dispatcher_channels_logout_marks_runtime_offline	451	pass
gateway::tests::dispatcher_channels_logout_without_runtime_account_does_not_create_account	406	pass
gateway::tests::dispatcher_channels_status_ingests_channel_accounts_runtime_map	437	pass
gateway::tests::dispatcher_channels_status_honors_default_account_hints_from_runtime_payload	439	pass
gateway::tests::dispatcher_channels_status_ingests_nested_default_account_id_from_channels_map	467	pass
gateway::tests::dispatcher_channels_status_ingests_nested_snake_case_default_account_id_from_channels_map	407	pass
gateway::tests::dispatcher_channels_status_ingests_alias_channel_ids_in_runtime_maps	438	pass
gateway::tests::dispatcher_channels_status_includes_wave2_channel_catalog_entries	420	pass
gateway::tests::dispatcher_channels_status_ingests_wave2_alias_channel_ids_in_runtime_maps	399	pass
gateway::tests::dispatcher_channels_status_includes_wave3_channel_catalog_entries	449	pass
gateway::tests::dispatcher_channels_status_ingests_wave3_alias_channel_ids_in_runtime_maps	400	pass
gateway::tests::dispatcher_channels_status_includes_wave4_channel_catalog_entries	435	pass
gateway::tests::dispatcher_channels_status_ingests_wave4_alias_channel_ids_in_runtime_maps	455	pass
gateway::tests::dispatcher_channels_status_ingests_snake_case_runtime_maps	488	pass
gateway::tests::dispatcher_channels_status_tracks_inbound_when_channel_is_only_in_payload	473	pass
gateway::tests::dispatcher_chat_send_updates_webchat_runtime_outbound_activity	392	pass
gateway::tests::dispatcher_channel_runtime_store_path_persists_and_recovers_across_dispatchers	440	pass
gateway::tests::dispatcher_channels_status_defaults_to_unconfigured_unlinked_without_runtime	420	pass
gateway::tests::dispatcher_channels_status_probe_false_sets_null_account_last_probe_at	439	pass
gateway::tests::dispatcher_channels_status_probe_true_sets_account_last_probe_at	442	pass
gateway::tests::dispatcher_channels_status_ingests_extended_account_metadata_fields	439	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_probe_audit_and_application_payloads	410	pass
gateway::tests::dispatcher_channels_logout_matches_account_id_case_insensitively	391	pass
gateway::tests::dispatcher_channels_logout_blank_account_id_defaults_default	449	pass
gateway::tests::dispatcher_channels_status_canonicalizes_default_account_id_casing	391	pass
gateway::tests::dispatcher_channels_status_orders_default_account_first	424	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_account_name	432	pass
gateway::tests::dispatcher_channels_status_ingests_runtime_display_name_alias	449	pass
gateway::tests::dispatcher_channels_status_ingests_snake_case_extended_metadata_fields	425	pass
gateway::tests::dispatcher_channels_status_parses_allow_from_string_list	423	pass
gateway::tests::dispatcher_channels_status_tracks_lifecycle_event_suffixes	431	pass
gateway::tests::dispatcher_channels_status_tracks_activity_event_suffixes	402	pass
gateway::tests::dispatcher_channels_status_tracks_activity_suffixes_with_nested_account_aliases	460	pass
gateway::tests::dispatcher_channels_status_tracks_nested_channel_alias_activity_events	412	pass
gateway::tests::dispatcher_send_accepts_wave2_channel_aliases	422	pass
gateway::tests::dispatcher_send_accepts_wave3_channel_aliases	435	pass
gateway::tests::dispatcher_send_accepts_wave4_channel_aliases	394	pass
gateway::tests::dispatcher_channel_acceptance_canary_covers_wave_channels	536	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_channel_default_account_id_map_values	451	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_payload_default_account_id	418	pass
gateway::tests::dispatcher_channels_status_accepts_numeric_nested_default_account_id	395	pass
gateway::tests::dispatcher_channels_status_parses_last_probe_at_from_string_number	473	pass
