test	duration_ms	status
bridge::tests::replay_harness_with_real_defender	32513	pass
bridge::tests::multi_session_soak_preserves_per_session_fifo_without_duplicates	2236	pass
bridge::tests::followup_queue_pressure_preserves_order_without_duplicates	2836	pass
scheduler::tests::drops_when_pending_capacity_is_exhausted	624	pass
gateway_server::tests::broadcaster_backpressure_drop_if_slow_semantics	630	pass
channels::tests::retry_backoff_policy_scales_and_caps	652	pass
gateway::tests::dispatcher_status_benchmark_emits_latency_profile	703	pass
gateway::tests::dispatcher_device_pair_store_path_persists_and_recovers_devices_across_dispatchers	646	pass
gateway::tests::dispatcher_node_pair_store_path_persists_and_recovers_pairs_across_dispatchers	666	pass
gateway::tests::dispatcher_voice_runtime_live_capture_stream_advances_frames_without_manual_touch	803	pass
gateway::tests::dispatcher_voice_runtime_live_playback_worker_drains_queue_without_snapshot_calls	2899	pass
security::prompt_guard::tests::scores_prompt_injection_patterns	641	pass
security::command_guard::tests::blocks_known_destructive_patterns	671	pass
security::tests::tool_loop_detection_escalates_warning_then_critical	34024	pass
security::policy_bundle::tests::loads_valid_signed_bundle_and_applies_policy_patch	564	pass
